time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-06-17T06:57:24.798Z,31.6553,131.6109,53.247,4.8,mb,76,134,0.999,0.78,us,us7000msy5,2024-06-17T09:39:34.842Z,"23 km ENE of Nichinan, Japan",earthquake,6.19,7.11,0.042,176,reviewed,us,us
2024-06-17T06:17:56.919Z,37.2931,20.5605,36.541,4,mb,30,147,1.095,0.66,us,us7000msy0,2024-06-17T20:30:42.526Z,"52 km SSW of Lithakiá, Greece",earthquake,7.55,6.255,0.212,6,reviewed,us,us
2024-06-17T05:39:55.740Z,19.1696,-68.5135,52,3.56,md,12,300,0.6689,0.57,pr,pr2024169000,2024-06-17T08:22:33.040Z,"59 km NNE of Otra Banda, Dominican Republic",earthquake,5.24,12.3,0.05,8,reviewed,pr,pr
2024-06-17T04:47:19.954Z,26.5962,130.1709,10,4.9,mww,74,78,1.222,0.52,us,us7000msxm,2024-06-18T02:48:20.040Z,"171 km SE of Isen, Japan",earthquake,5.52,1.802,0.075,17,reviewed,us,us
2024-06-17T03:34:48.905Z,2.1588,-97.5471,10,4.5,mb,33,146,14.962,0.76,us,us7000msxg,2024-06-17T05:19:12.040Z,"west of the Galapagos Islands",earthquake,11.65,1.952,0.071,58,reviewed,us,us
2024-06-17T03:24:21.218Z,60.9817,-149.6998,31.5,2.5,ml,,,,0.41,ak,ak0247rjr53d,2024-06-17T05:11:05.040Z,"7 km NNW of Hope, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-06-17T03:13:13.051Z,61.3612,-147.7477,18.7,2.7,ml,,,,0.47,ak,ak0247rjorl5,2024-06-17T05:05:10.040Z,"50 km S of Glacier View, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-06-17T03:02:06.410Z,18.1838333333333,-67.1653333333333,76.18,2.83,md,8,261,0.07603,0.21,pr,pr71452943,2024-06-17T03:15:03.260Z,"3 km SW of Mayagüez, Puerto Rico",earthquake,2.33,1.14,0.121495528360802,6,reviewed,pr,pr
2024-06-17T02:58:59.645Z,-40.1782,78.5573,10,4.9,mb,32,68,28.807,0.8,us,us7000msx3,2024-06-17T04:41:45.040Z,"Mid-Indian Ridge",earthquake,10.21,1.616,0.105,28,reviewed,us,us
2024-06-17T02:53:42.040Z,17.8825,-67.2123333333333,11.87,2.65,md,9,296,0.1573,0.22,pr,pr71452928,2024-06-17T03:06:56.640Z,"10 km SSW of Pole Ojea, Puerto Rico",earthquake,1.1,0.63,0.0336663214422837,5,reviewed,pr,pr
2024-06-17T02:39:36.206Z,-15.9341,-74.3965,35,4.2,mb,29,144,4.585,0.79,us,us7000mswt,2024-06-17T04:26:32.040Z,"15 km SSW of Atiquipa, Peru",earthquake,4.92,1.948,0.128,17,reviewed,us,us
2024-06-17T02:23:35.455Z,-16.097,-74.766,10,4.5,mb,29,153,4.555,1.42,us,us7000mswm,2024-06-17T04:30:45.040Z,"54 km SW of Atiquipa, Peru",earthquake,10.45,1.922,0.097,31,reviewed,us,us
2024-06-17T02:21:34.252Z,-6.9817,129.7735,133.217,4.3,mb,15,87,4.729,0.93,us,us7000mswn,2024-06-17T03:54:49.040Z,"Banda Sea",earthquake,8.97,13.228,0.239,5,reviewed,us,us
2024-06-17T02:03:09.079Z,60.5202,-141.3221,11.5,2.8,ml,,,,0.95,ak,ak0247rj16ij,2024-06-17T03:34:22.040Z,"133 km SE of McCarthy, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-06-17T01:21:47.950Z,36.6341667175293,-121.252830505371,9.47999954223633,2.78,md,52,102,,0.11,nc,nc75023102,2024-06-17T02:51:26.040Z,"15 km NNW of Pinnacles, CA",earthquake,0.21,0.439999998,0.12,67,automatic,nc,nc
2024-06-17T00:52:40.520Z,17.9385,-66.9186666666667,13.65,2.51,md,4,218,0.05224,0.11,pr,pr71452888,2024-06-17T01:06:52.900Z,"3 km SSW of Guánica, Puerto Rico",earthquake,2.36,0.65,0.0231612582538685,3,reviewed,pr,pr
2024-06-17T00:31:27.413Z,60.0255,-152.6719,107.1,2.5,ml,,,,0.43,ak,ak0247ri0csx,2024-06-17T00:47:04.040Z,"53 km W of Happy Valley, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-06-16T23:41:25.160Z,18,-66.8273333333333,11.06,2.86,md,17,124,0.0477,0.17,pr,pr71452878,2024-06-16T23:57:04.070Z,"1 km NW of Indios, Puerto Rico",earthquake,0.34,0.6,0.186301199226853,8,reviewed,pr,pr
2024-06-16T23:38:56.942Z,58.9007,-154.3196,118.932,2.5,ml,20,109,1.059,0.33,us,us7000msvz,2024-06-17T00:16:52.040Z,"65 km SSE of Kokhanok, Alaska",earthquake,3.77,11.822,0.057,40,reviewed,us,us
